idx,temp
0,-0.1
1,0.2
2,0.3
3,0.4
4,0.1
5,-0.3
6,-0.4
7,0.1
8,0.6
9,1.4
10,1.5
11,2.2
12,2.9
13,3.3
14,3.5
15,3.5
16,3.2
17,2.6
18,2.1
19,1.4
20,1.0
21,1.5
22,1.9
23,2.2
24,2.3
25,2.4
26,2.3
27,2.3
28,1.9
29,1.4
30,0.7
31,0.1
32,-0.4
33,-0.8
34,-0.5
35,-0.2
36,-0.1
37,0.1
38,0.1
39,0.3
40,0.3
41,0.3
42,0.4
43,0.2
44,-0.7
45,-0.2
46,-0.3
47,-1.0
48,-2.0
49,-2.4
50,-2.0
51,-1.7
52,-2.2
53,-2.8
54,-2.8
55,-2.5
56,-1.9
57,-1.3
58,-0.9
59,-0.5
60,-0.1
61,-0.3
62,-0.1
63,0.1
64,0.0
65,0.1
66,0.3
67,0.5
68,0.6
69,0.6
70,0.5
71,0.3
72,0.4
73,0.7
74,1.0
75,0.7
76,0.5
77,1.1
78,0.8
79,0.9
80,1.2
81,1.6
82,1.9
83,1.3
84,1.5
85,1.5
86,1.5
87,0.4
88,0.5
89,0.6
90,0.6
91,0.6
92,0.6
93,0.3
94,-0.2
95,-0.8
96,-2.0
97,-3.2
98,-4.4
99,-5.5
100,-5.7
101,-5.7
102,-6.0
103,-7.3
104,-7.6
105,-7.7
106,-7.6
107,-7.6
108,-7.7
109,-8.2
110,-8.5
111,-8.9
112,-9.2
113,-9.4
114,-10.1
115,-9.9
116,-10.0
117,-10.2
118,-10.2
119,-10.3
120,-11.1
121,-12.1
122,-12.7
123,-12.8
124,-13.0
125,-13.3
126,-13.4
127,-13.5
128,-12.9
129,-12.4
130,-12.1
131,-12.1
132,-12.2
133,-13.0
134,-13.7
135,-14.3
136,-14.8
137,-15.3
138,-15.7
139,-16.3
140,-16.7
141,-16.9
142,-17.2
143,-17.5
144,-18.0
145,-18.5
146,-18.3
147,-18.1
148,-18.2
149,-18.2
150,-18.3
151,-17.2
152,-14.6
153,-13.2
154,-12.5
155,-10.9
156,-10.1
157,-10.8
158,-11.7
159,-13.2
160,-14.0
161,-14.1
162,-14.8
163,-15.1
164,-14.8
165,-16.2
166,-16.7
167,-16.9
168,-17.3
169,-17.7
170,-17.9
171,-18.1
172,-18.1
173,-18.2
174,-18.6
175,-17.2
176,-13.1
177,-10.7
178,-8.8
179,-7.3
180,-6.1
181,-6.5
182,-7.6
183,-9.0
184,-9.5
185,-10.2
186,-11.4
187,-12.5
188,-12.4
189,-11.4
190,-11.7
191,-11.8
192,-11.1
193,-11.7
194,-10.6
195,-11.4
196,-11.2
197,-10.4
198,-10.5
199,-9.6
200,-7.4
201,-6.5
202,-5.0
203,-4.5
204,-3.9
205,-4.9
206,-6.0
207,-7.7
208,-9.4
209,-11.2
210,-12.4
211,-12.8
212,-12.4
213,-12.4
214,-12.0
215,-10.7
216,-10.3
217,-10.4
218,-10.7
219,-10.4
220,-9.7
221,-9.6
222,-9.5
223,-8.9
224,-9.1
